epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.453,4.62308,18.6342,5.15402,0,0,0,0,nan,nan,nan,0.0802,0.0022,0.0022
2,51.4129,5.11869,9.4107,5.59639,0,0,0,0,nan,nan,nan,0.0594989,0.0044989,0.0044989
3,63.109,4.85509,8.96887,5.3143,0,0,0,0,nan,nan,nan,0.0387934,0.00679336,0.00679336
4,73.3024,4.60876,8.32128,5.14052,0,0,0,0,nan,nan,nan,0.01808,0.00908001,0.00908001
5,85.682,4.50905,7.84329,5.02942,0,0,0,0,nan,nan,nan,0.00996097,0.00996097,0.00996097
6,97.196,4.61417,7.88651,5.13606,0,0,0,0,nan,nan,nan,0.00993906,0.00993906,0.00993906
7,108.801,4.22533,7.20472,4.86247,0,0,0,0,nan,nan,nan,0.00991232,0.00991232,0.00991232
8,120.054,4.16741,7.01695,4.68051,0.29398,0.06768,0.01151,0.00566,6.22567,62.8052,9.19628,0.00988079,0.00988079,0.00988079
9,130.835,4.05034,6.88544,4.60388,0.11481,0.06643,0.02553,0.01452,4.48697,17.1848,6.18616,0.00984449,0.00984449,0.00984449
10,142.369,4.04122,6.51491,4.58913,0.00048,0.19397,0.0005,0.00021,4.61048,26.0803,6.21859,0.00980345,0.00980345,0.00980345
11,154.092,3.89347,6.50095,4.52497,0.73833,0.13066,0.10894,0.05081,4.00151,13.3935,5.01468,0.00975773,0.00975773,0.00975773
12,165.453,3.97492,6.55406,4.53106,0.33199,0.27499,0.13333,0.04669,4.13718,9.6004,5.7691,0.00970736,0.00970736,0.00970736
13,175.913,3.67912,6.26945,4.325,0.26881,0.12587,0.11287,0.05695,3.94645,9.14392,5.02788,0.00965239,0.00965239,0.00965239
14,187.339,3.70752,6.22752,4.31905,0.27529,0.34921,0.15646,0.08675,3.7938,6.76926,5.1368,0.00959289,0.00959289,0.00959289
15,198.932,3.71932,6.16607,4.28123,0.76156,0.03135,0.08485,0.04266,3.89797,7.35079,4.97814,0.00952889,0.00952889,0.00952889
16,210.741,3.60298,6.16078,4.11764,0.08229,0.14448,0.10924,0.05632,3.37901,6.78736,4.18567,0.00946048,0.00946048,0.00946048
17,220.828,3.67712,6.18711,4.2041,0.32936,0.14118,0.06885,0.03515,4.80947,12.6171,5.43544,0.00938772,0.00938772,0.00938772
18,232.335,3.52709,5.87479,4.07719,0.31633,0.08212,0.10612,0.05416,3.98355,6.48361,4.88432,0.00931067,0.00931067,0.00931067
19,243.985,3.55233,5.75709,4.05724,0.19607,0.10145,0.09951,0.05037,3.85833,6.03035,4.97329,0.00922942,0.00922942,0.00922942
20,255.469,3.44252,5.62489,3.95241,0.23762,0.40089,0.14209,0.07241,3.8077,7.24164,4.72701,0.00914405,0.00914405,0.00914405
21,265.493,3.41693,5.64605,3.9367,0.29196,0.31882,0.21602,0.12676,3.12175,5.14787,3.84718,0.00905463,0.00905463,0.00905463
22,277.234,3.34223,5.70008,3.85053,0.26248,0.17591,0.1429,0.08133,3.53569,5.51336,4.56082,0.00896127,0.00896127,0.00896127
23,288.585,3.12852,5.35136,3.68775,0.08075,0.0954,0.05284,0.03309,4.89118,8.46509,6.51594,0.00886404,0.00886404,0.00886404
24,300.246,3.13805,5.29581,3.71643,0.29795,0.18989,0.17375,0.10906,3.03289,5.35556,3.90825,0.00876305,0.00876305,0.00876305
