epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6041,3.60352,12.7201,3.80898,0,0,0,0,nan,nan,nan,0.0690217,0.00163043,0.00163043
2,42.2047,3.90857,6.7145,3.60183,0,0,0,0,nan,nan,nan,0.0373543,0.00329637,0.00329637
3,54.9157,3.52932,6.03236,3.29787,0.00014,0.00758,8e-05,1e-05,8.71068,626.77,19.7596,0.005684,0.00495936,0.00495936
4,68.9922,3.188,5.50158,3.01193,0.1172,0.07097,0.03352,0.01425,4.63033,12.3979,6.68062,0.00499001,0.00499001,0.00499001
5,81.9028,3.18783,5.1503,2.93442,0.07434,0.12584,0.07987,0.05212,3.77598,7.58127,4.31388,0.00498226,0.00498226,0.00498226
6,96.9098,2.89987,4.99836,2.79324,0.35603,0.16664,0.15562,0.09214,3.11228,6.34934,3.37801,0.0049723,0.0049723,0.0049723
7,110.426,2.8369,4.74702,2.73257,0.15429,0.49463,0.23991,0.16475,2.3146,5.94958,2.78893,0.00496015,0.00496015,0.00496015
8,123.957,2.73374,4.61652,2.66918,0.20786,0.37298,0.18717,0.12235,2.35089,6.65412,2.8008,0.00494581,0.00494581,0.00494581
9,136.978,2.65657,4.42789,2.60787,0.31667,0.43918,0.29916,0.20596,2.11661,4.11258,2.51856,0.00492931,0.00492931,0.00492931
10,150.258,2.52083,4.24461,2.53306,0.291,0.56142,0.32141,0.2173,2.01629,4.23416,2.48681,0.00491066,0.00491066,0.00491066
11,163.529,2.4047,4.04276,2.49556,0.26041,0.30889,0.23263,0.17088,2.36008,4.27606,2.8513,0.00488988,0.00488988,0.00488988
12,176.864,2.48246,4.17791,2.52983,0.21852,0.4926,0.28695,0.20515,2.23047,4.54981,2.75043,0.00486698,0.00486698,0.00486698
13,190.003,2.42967,4.03134,2.46444,0.27465,0.46752,0.32137,0.22721,2.22235,4.04251,2.59706,0.004842,0.004842,0.004842
14,203.007,2.46244,3.94047,2.54718,0.25852,0.70229,0.42423,0.3169,1.80427,3.5439,2.36299,0.00481495,0.00481495,0.00481495
15,215.383,2.4291,3.96681,2.47945,0.43088,0.60206,0.51197,0.39802,1.7406,3.23436,2.30104,0.00478586,0.00478586,0.00478586
16,227.917,2.41774,3.76299,2.466,0.41674,0.5961,0.51528,0.37626,1.87783,3.11508,2.44632,0.00475476,0.00475476,0.00475476
17,240.689,2.44323,3.74376,2.51276,0.36208,0.64983,0.47139,0.34536,1.91364,3.35694,2.44183,0.00472169,0.00472169,0.00472169
18,254.273,2.2568,3.71115,2.38665,0.488,0.58584,0.58522,0.44933,1.73723,2.91244,2.3006,0.00468667,0.00468667,0.00468667
19,269.366,2.38278,3.73699,2.41482,0.44314,0.75491,0.57792,0.4064,1.76918,2.91533,2.23539,0.00464974,0.00464974,0.00464974
20,282.781,2.27788,3.60161,2.41479,0.37229,0.63238,0.48499,0.37891,1.65073,3.16654,2.18527,0.00461093,0.00461093,0.00461093
21,295.775,2.3216,3.51475,2.45093,0.56609,0.59236,0.6393,0.50125,1.51324,2.75188,2.16845,0.00457029,0.00457029,0.00457029
22,309.061,2.23073,3.42157,2.38902,0.60489,0.53149,0.61722,0.47704,1.83605,2.58398,2.35604,0.00452785,0.00452785,0.00452785
23,322.017,2.20958,3.3571,2.36767,0.64793,0.52449,0.62808,0.49038,1.56881,2.5077,2.2163,0.00448365,0.00448365,0.00448365
24,334.994,2.17021,3.40292,2.37257,0.5344,0.61331,0.62825,0.49397,1.68691,2.49274,2.23266,0.00443775,0.00443775,0.00443775
25,348.099,2.18597,3.31811,2.32959,0.64855,0.56624,0.68044,0.54476,1.5418,2.33743,2.11744,0.00439018,0.00439018,0.00439018
26,360.423,2.13696,3.32041,2.33808,0.59027,0.64052,0.70041,0.52436,1.80932,2.57405,2.29237,0.00434099,0.00434099,0.00434099
27,372.901,2.2543,3.35129,2.38348,0.5758,0.68745,0.68835,0.52843,1.69413,2.32545,2.22,0.00429023,0.00429023,0.00429023
28,385.967,2.16764,3.11825,2.35569,0.54425,0.68022,0.67382,0.4963,1.88025,2.6203,2.28983,0.00423795,0.00423795,0.00423795
29,398.992,2.27229,3.15927,2.36767,0.42244,0.64346,0.61536,0.47299,1.65222,2.46746,2.2578,0.0041842,0.0041842,0.0041842
30,412.248,2.02115,3.05219,2.26607,0.49989,0.75031,0.63249,0.49999,1.60284,2.29791,2.21539,0.00412904,0.00412904,0.00412904
31,427.036,2.0712,2.98612,2.26731,0.61564,0.75607,0.74943,0.58943,1.59799,2.2322,2.19983,0.00407252,0.00407252,0.00407252
32,440.292,2.12553,2.9977,2.28262,0.59102,0.69369,0.72316,0.56723,1.66319,2.26312,2.25835,0.00401469,0.00401469,0.00401469
33,453.275,2.08702,3.02016,2.29931,0.61015,0.73135,0.73172,0.58081,1.58118,2.11252,2.1728,0.00395561,0.00395561,0.00395561
34,466.253,2.05119,2.98916,2.27507,0.63453,0.77659,0.74161,0.60841,1.53449,2.06201,2.11912,0.00389534,0.00389534,0.00389534
35,479.591,2.10705,2.9811,2.31783,0.59865,0.75328,0.78068,0.62595,1.59353,1.994,2.14785,0.00383395,0.00383395,0.00383395
36,492.587,2.00475,2.95467,2.2724,0.51938,0.74278,0.69754,0.56631,1.5212,2.1487,2.11173,0.00377148,0.00377148,0.00377148
37,504.535,1.98896,2.79778,2.23645,0.61141,0.81123,0.76709,0.63821,1.35975,1.92828,2.03604,0.003708,0.003708,0.003708
38,517.355,1.99625,2.83936,2.24995,0.56967,0.76363,0.70803,0.57619,1.46128,2.19007,2.11391,0.00364358,0.00364358,0.00364358
39,530.004,1.99196,2.84016,2.2665,0.61643,0.69328,0.77602,0.62254,1.56795,2.18759,2.13382,0.00357828,0.00357828,0.00357828
40,543.257,2.09526,2.96557,2.2835,0.70475,0.67526,0.71451,0.56913,1.48231,2.02414,2.09273,0.00351216,0.00351216,0.00351216
41,556.175,1.98276,2.87669,2.22296,0.64399,0.7901,0.74382,0.5894,1.56754,2.01366,2.16473,0.00344529,0.00344529,0.00344529
42,569.254,1.98645,2.80144,2.26444,0.68147,0.74058,0.76838,0.62123,1.50599,2.03943,2.15682,0.00337773,0.00337773,0.00337773
43,582.475,1.91565,2.68383,2.25256,0.67347,0.78278,0.77761,0.61953,1.48775,1.81158,2.07357,0.00330955,0.00330955,0.00330955
44,597.773,1.92807,2.70808,2.21393,0.73198,0.73516,0.79082,0.64708,1.45229,1.81037,2.03922,0.00324082,0.00324082,0.00324082
45,611.493,1.87993,2.65493,2.20775,0.68485,0.76133,0.7736,0.63775,1.46391,1.89078,2.10325,0.00317161,0.00317161,0.00317161
46,624.353,1.92669,2.59221,2.25472,0.74434,0.76354,0.79778,0.66163,1.41157,1.72587,2.06207,0.00310198,0.00310198,0.00310198
47,636.738,1.8501,2.60568,2.16564,0.72853,0.76772,0.79394,0.64858,1.3856,1.78857,2.02713,0.003032,0.003032,0.003032
48,648.942,1.90449,2.73615,2.21648,0.68383,0.74765,0.80051,0.67398,1.35841,1.6971,2.00131,0.00296174,0.00296174,0.00296174
49,661.791,1.96833,2.68672,2.2342,0.6588,0.76972,0.76344,0.61929,1.46283,1.88712,2.07176,0.00289128,0.00289128,0.00289128
50,674.734,1.81307,2.51665,2.14928,0.77745,0.78382,0.84745,0.69501,1.4174,1.69651,2.05504,0.00282067,0.00282067,0.00282067
51,688.047,1.8546,2.52969,2.13771,0.79337,0.74526,0.85038,0.69175,1.41118,1.66914,2.09026,0.00275,0.00275,0.00275
52,701.006,1.87665,2.47836,2.2298,0.72137,0.84712,0.84981,0.69196,1.37853,1.5573,2.02246,0.00267933,0.00267933,0.00267933
53,714.088,1.79686,2.45449,2.13708,0.78413,0.72967,0.80665,0.67089,1.27531,1.69443,2.00994,0.00260872,0.00260872,0.00260872
54,727.528,1.72108,2.36236,2.11752,0.67555,0.84767,0.82288,0.69623,1.30835,1.63364,1.97493,0.00253826,0.00253826,0.00253826
55,741.022,1.75289,2.3074,2.16771,0.75856,0.80856,0.82811,0.69558,1.29357,1.53154,1.98021,0.002468,0.002468,0.002468
56,754.286,1.7256,2.2321,2.125,0.72306,0.85715,0.8851,0.73933,1.31403,1.54294,1.97325,0.00239802,0.00239802,0.00239802
57,769.081,1.70099,2.30827,2.1089,0.73881,0.796,0.87007,0.71584,1.38225,1.68021,2.00826,0.00232839,0.00232839,0.00232839
58,781.893,1.76336,2.41784,2.17908,0.83453,0.77777,0.87067,0.73263,1.25192,1.52949,1.92872,0.00225918,0.00225918,0.00225918
59,794.115,1.72599,2.27621,2.14081,0.75649,0.82119,0.86888,0.72814,1.24303,1.50285,1.96188,0.00219045,0.00219045,0.00219045
60,806.441,1.71126,2.35921,2.11684,0.84337,0.82512,0.90394,0.75209,1.32247,1.50098,2.00038,0.00212227,0.00212227,0.00212227
61,819.85,1.64765,2.27783,2.09969,0.86609,0.79766,0.89486,0.73794,1.25466,1.51255,1.97362,0.00205471,0.00205471,0.00205471
62,833.009,1.5987,2.19275,2.06286,0.76106,0.80509,0.84666,0.71523,1.22943,1.56923,1.91579,0.00198784,0.00198784,0.00198784
63,846.633,1.58836,2.13968,2.09151,0.81424,0.75441,0.85871,0.73029,1.24552,1.48489,1.92508,0.00192172,0.00192172,0.00192172
64,859.894,1.63965,2.0865,2.09452,0.7684,0.8101,0.86842,0.75461,1.19705,1.51484,1.89094,0.00185642,0.00185642,0.00185642
65,873.327,1.64894,2.18269,2.07997,0.79001,0.82837,0.88241,0.77132,1.18974,1.45145,1.88907,0.001792,0.001792,0.001792
66,886.325,1.58267,2.07029,2.08157,0.84587,0.78439,0.88328,0.75474,1.21953,1.45597,1.91164,0.00172852,0.00172852,0.00172852
67,899.145,1.61838,2.16268,2.11976,0.78082,0.85385,0.88769,0.75527,1.29298,1.41106,1.96038,0.00166605,0.00166605,0.00166605
68,912.293,1.60605,2.02028,2.09109,0.82589,0.84715,0.88257,0.75043,1.23957,1.46961,1.95208,0.00160466,0.00160466,0.00160466
69,924.557,1.49862,2.01969,2.01898,0.88409,0.77332,0.87863,0.73706,1.30857,1.51313,2.01884,0.00154439,0.00154439,0.00154439
70,939.006,1.57607,2.02367,2.06288,0.88311,0.80002,0.90665,0.77333,1.24213,1.39652,1.95685,0.00148531,0.00148531,0.00148531
71,951.739,1.63037,2.01477,2.10139,0.84692,0.85944,0.90042,0.76917,1.21908,1.37592,1.96827,0.00142748,0.00142748,0.00142748
72,965.105,1.52703,1.92525,2.04142,0.80343,0.84647,0.87411,0.75128,1.23384,1.39879,1.91204,0.00137096,0.00137096,0.00137096
73,979.008,1.58688,2.0544,2.09576,0.82804,0.88241,0.89785,0.77948,1.20801,1.31011,1.9186,0.0013158,0.0013158,0.0013158
74,992.544,1.5196,2.05252,2.05732,0.76027,0.82998,0.89754,0.77606,1.16533,1.38273,1.88844,0.00126205,0.00126205,0.00126205
75,1005.88,1.5888,2.11113,2.09245,0.83231,0.89145,0.92337,0.79491,1.17648,1.24965,1.90153,0.00120977,0.00120977,0.00120977
76,1019.28,1.51763,1.97918,2.04184,0.82008,0.83781,0.90084,0.77909,1.27141,1.31675,1.93079,0.00115901,0.00115901,0.00115901
77,1032.69,1.51447,1.90109,2.05829,0.7805,0.89655,0.89738,0.7775,1.15619,1.28574,1.89567,0.00110982,0.00110982,0.00110982
78,1045.9,1.56023,2.01237,2.05813,0.82848,0.85051,0.90077,0.78296,1.14656,1.29133,1.88113,0.00106225,0.00106225,0.00106225
