epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5053,2.76302,12.4041,3.26599,0.34202,0.33609,0.11914,0.09425,1.8055,10.686,2.55113,0.0677174,0.000326087,0.000326087
2,44.0043,2.37897,5.76098,2.73139,0.2163,0.41406,0.13564,0.08272,1.93198,10.5411,2.5657,0.0347173,0.00065929,0.00065929
3,56.2535,2.27735,5.08247,2.55713,0.12672,0.36713,0.20421,0.15959,1.86503,5.54508,2.58424,0.00171661,0.00099197,0.00099197
4,69.603,2.24297,4.61072,2.47918,0.18019,0.40853,0.21336,0.14533,2.21849,5.21266,2.87519,0.000998225,0.000998225,0.000998225
5,83.1879,2.40342,4.50541,2.55016,0.26138,0.5028,0.32637,0.23563,1.89661,4.36405,2.49901,0.000996846,0.000996846,0.000996846
6,96.184,2.23799,4.23307,2.44647,0.32152,0.57588,0.41821,0.3006,1.91326,3.81513,2.53684,0.000995075,0.000995075,0.000995075
7,109.086,2.12741,4.05444,2.38266,0.35892,0.44151,0.36116,0.25596,1.85106,4.17581,2.47489,0.000992915,0.000992915,0.000992915
8,122.339,2.10523,3.90748,2.3531,0.32095,0.69033,0.38848,0.29256,1.64901,3.44331,2.22543,0.000990367,0.000990367,0.000990367
9,135.116,2.04488,3.83155,2.32505,0.29943,0.60807,0.47745,0.39751,1.49183,3.0727,2.14233,0.000987433,0.000987433,0.000987433
10,148.502,1.98945,3.59111,2.31516,0.29748,0.6951,0.47179,0.36272,1.702,3.63269,2.27507,0.000984117,0.000984117,0.000984117
11,161.502,1.86975,3.43176,2.24303,0.52673,0.62415,0.56201,0.44691,1.53149,2.92404,2.12411,0.000980423,0.000980423,0.000980423
12,174.612,2.00175,3.4245,2.32438,0.54155,0.56084,0.60941,0.47809,1.54636,3.07532,2.16222,0.000976352,0.000976352,0.000976352
13,186.472,1.90158,3.1677,2.23026,0.50149,0.65751,0.60595,0.48076,1.45881,2.65705,2.08693,0.000971911,0.000971911,0.000971911
14,198.829,1.92895,3.20566,2.28742,0.47586,0.7422,0.64267,0.54172,1.36598,2.25921,2.04493,0.000967102,0.000967102,0.000967102
15,211.599,1.87951,3.2447,2.22655,0.37934,0.64028,0.5564,0.47154,1.33496,2.57897,1.97682,0.000961931,0.000961931,0.000961931
16,224.533,1.90237,3.17983,2.25092,0.55005,0.61877,0.66853,0.56073,1.31619,2.39488,1.97904,0.000956403,0.000956403,0.000956403
17,237.321,1.77472,3.03346,2.22249,0.63495,0.69516,0.73519,0.61057,1.31379,2.19043,2.01019,0.000950523,0.000950523,0.000950523
18,250.246,1.83142,3.11952,2.20293,0.57397,0.72424,0.71457,0.61358,1.33804,2.12729,2.02739,0.000944297,0.000944297,0.000944297
19,263.263,1.8298,3.18223,2.22745,0.6438,0.62472,0.67763,0.56125,1.43371,2.47731,2.03944,0.000937731,0.000937731,0.000937731
20,276.109,1.803,3.05776,2.2148,0.60874,0.80046,0.75939,0.62121,1.42507,2.06101,2.0594,0.000930832,0.000930832,0.000930832
21,289.718,1.79712,2.80493,2.19903,0.54294,0.79152,0.74577,0.63772,1.27018,1.86558,1.9626,0.000923607,0.000923607,0.000923607
22,303.7,1.81046,2.88787,2.22914,0.68861,0.6645,0.73656,0.61913,1.31657,1.96293,2.02563,0.000916062,0.000916062,0.000916062
