epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6368,3.79101,23.4091,4.3807,0.09403,0.04242,0.0073,0.0023,3.68024,11.6648,5.07288,0.07822,0.00022,0.00022
2,24.4005,3.57909,14.798,4.23142,0.11617,0.12746,0.0325,0.01332,3.17764,8.27099,4.33468,0.0554499,0.00044989,0.00044989
3,36.3096,3.19577,10.7873,3.78047,0.11335,0.143,0.09812,0.0569,2.6819,6.77116,3.81423,0.0326793,0.000679336,0.000679336
4,46.3785,2.64926,8.84993,3.36637,0.08306,0.24654,0.13988,0.09284,2.14078,5.72006,3.30961,0.009908,0.000908001,0.000908001
5,57.5928,2.43419,7.42007,3.0709,0.15201,0.29245,0.18113,0.12928,1.90662,5.03889,2.94635,0.000996097,0.000996097,0.000996097
6,69.113,2.13934,6.78949,2.89519,0.1594,0.36812,0.21848,0.15357,1.58279,4.43721,2.70086,0.000993906,0.000993906,0.000993906
7,80.5461,1.99442,6.08827,2.78169,0.30072,0.42058,0.34152,0.26209,1.45518,3.7989,2.5393,0.000991232,0.000991232,0.000991232
8,91.0943,1.95134,5.54775,2.74225,0.27168,0.47304,0.31546,0.23737,1.34472,3.80841,2.45212,0.000988079,0.000988079,0.000988079
9,102.46,1.86076,5.34692,2.67765,0.26836,0.53765,0.34736,0.27824,1.29858,3.55976,2.41935,0.000984449,0.000984449,0.000984449
10,114.079,1.70625,4.97344,2.56548,0.22583,0.49377,0.35701,0.28319,1.3221,3.48498,2.35932,0.000980345,0.000980345,0.000980345
11,126.129,1.66534,4.70772,2.54683,0.35549,0.65077,0.46349,0.37623,1.22213,3.09346,2.29525,0.000975773,0.000975773,0.000975773
12,137.294,1.67191,4.62018,2.5411,0.46755,0.49258,0.48042,0.3843,1.21808,3.10398,2.32087,0.000970736,0.000970736,0.000970736
13,147.789,1.59874,4.25657,2.45892,0.31665,0.63126,0.5195,0.43075,1.20234,2.86407,2.297,0.000965239,0.000965239,0.000965239
14,159.146,1.56761,4.15289,2.4852,0.3943,0.5852,0.56145,0.4591,1.1949,2.74658,2.22586,0.000959289,0.000959289,0.000959289
15,170.613,1.60211,3.94827,2.44791,0.55855,0.57053,0.59111,0.4868,1.1967,2.4297,2.26203,0.000952889,0.000952889,0.000952889
16,181.802,1.52912,3.83273,2.38193,0.60338,0.56814,0.61338,0.51304,1.13383,2.43827,2.17059,0.000946048,0.000946048,0.000946048
17,192.249,1.50071,3.79098,2.40366,0.61096,0.51077,0.65765,0.54679,1.13074,2.06656,2.21817,0.000938772,0.000938772,0.000938772
18,203.788,1.44435,3.51039,2.33333,0.60648,0.68585,0.70406,0.58826,1.12755,2.1685,2.21927,0.000931067,0.000931067,0.000931067
19,215.301,1.51674,3.37699,2.38887,0.60137,0.78243,0.74729,0.63082,1.14384,1.99216,2.24345,0.000922942,0.000922942,0.000922942
20,226.452,1.44767,3.32294,2.3246,0.61372,0.68108,0.73311,0.61936,1.12661,2.04632,2.20626,0.000914405,0.000914405,0.000914405
21,236.612,1.44515,3.24586,2.3584,0.6555,0.7514,0.74759,0.65336,1.08743,1.77208,2.15042,0.000905463,0.000905463,0.000905463
22,247.96,1.36881,3.26073,2.29613,0.72208,0.64134,0.77499,0.66135,1.11319,1.90467,2.20018,0.000896127,0.000896127,0.000896127
23,259.157,1.33225,2.97154,2.26452,0.65632,0.8037,0.80804,0.69356,1.11019,1.88911,2.1652,0.000886404,0.000886404,0.000886404
24,270.256,1.37363,3.06952,2.31568,0.64197,0.75028,0.77312,0.65954,1.10637,1.81367,2.17212,0.000876305,0.000876305,0.000876305
25,280.335,1.32346,2.81179,2.27223,0.71641,0.7689,0.79132,0.67859,1.10842,1.74659,2.1919,0.000865839,0.000865839,0.000865839
26,291.658,1.37429,2.74696,2.2914,0.66502,0.71282,0.78554,0.67729,1.02936,1.88242,2.10822,0.000855018,0.000855018,0.000855018
27,302.971,1.31262,2.81025,2.26958,0.81767,0.73257,0.85332,0.74538,1.07742,1.62531,2.12677,0.000843851,0.000843851,0.000843851
28,314.441,1.28351,2.74129,2.22383,0.6403,0.83562,0.81667,0.70852,1.03552,1.69737,2.09,0.000832349,0.000832349,0.000832349
29,324.284,1.29913,2.63541,2.22066,0.80368,0.71775,0.82657,0.72043,1.00946,1.59307,2.08756,0.000820525,0.000820525,0.000820525
30,335.7,1.26334,2.62502,2.19359,0.73689,0.7961,0.85036,0.74401,0.98326,1.47386,2.05334,0.000808389,0.000808389,0.000808389
31,347.134,1.29411,2.39957,2.22104,0.72519,0.82522,0.83909,0.73751,1.03353,1.5362,2.10713,0.000795954,0.000795954,0.000795954
32,358.444,1.26968,2.41613,2.17076,0.77238,0.73745,0.82263,0.71774,1.04737,1.56201,2.12776,0.000783231,0.000783231,0.000783231
33,368.375,1.26858,2.46094,2.22083,0.71137,0.76817,0.85486,0.75145,1.01583,1.60962,2.10906,0.000770234,0.000770234,0.000770234
34,379.832,1.22882,2.42471,2.1696,0.76795,0.77621,0.85228,0.75022,1.00558,1.42193,2.09698,0.000756976,0.000756976,0.000756976
35,391.205,1.25085,2.32236,2.23155,0.82757,0.78521,0.8717,0.76404,1.00905,1.46969,2.07082,0.000743468,0.000743468,0.000743468
36,402.694,1.26933,2.32868,2.21412,0.76861,0.79613,0.84909,0.74091,1.02336,1.47197,2.08109,0.000729725,0.000729725,0.000729725
37,412.997,1.20642,2.26049,2.15105,0.72902,0.84184,0.87198,0.76329,1.01573,1.53028,2.05605,0.000715761,0.000715761,0.000715761
38,424.152,1.25429,2.31427,2.18589,0.72898,0.8557,0.87,0.75556,1.02538,1.30461,2.06618,0.000701588,0.000701588,0.000701588
39,435.606,1.23896,2.24849,2.18384,0.8182,0.78763,0.88416,0.77088,0.99475,1.42565,2.03607,0.000687222,0.000687222,0.000687222
40,447.29,1.2345,2.09876,2.18817,0.80496,0.83459,0.88686,0.78368,0.99065,1.33037,2.02568,0.000672675,0.000672675,0.000672675
41,457.899,1.16409,2.07999,2.1265,0.89257,0.79747,0.91233,0.81043,0.97495,1.15441,2.01454,0.000657963,0.000657963,0.000657963
42,468.503,1.27104,2.35773,2.19255,0.86873,0.80225,0.88686,0.78539,0.96797,1.20898,2.01525,0.000643101,0.000643101,0.000643101
43,479.806,1.09546,2.05443,2.07925,0.81319,0.7738,0.87408,0.77296,0.98537,1.46978,2.04309,0.000628101,0.000628101,0.000628101
44,491.168,1.20496,2.04961,2.13379,0.80004,0.84364,0.8736,0.77344,0.9951,1.31974,2.05008,0.000612981,0.000612981,0.000612981
45,501.63,1.17432,1.98823,2.10856,0.71404,0.84253,0.87861,0.77918,0.98391,1.41982,2.02258,0.000597754,0.000597754,0.000597754
46,512.148,1.1998,2.08867,2.15883,0.73774,0.83562,0.87182,0.775,0.96927,1.38872,2.0215,0.000582435,0.000582435,0.000582435
47,523.415,1.18605,1.99785,2.14643,0.7111,0.87534,0.87676,0.77634,0.9992,1.3124,2.02367,0.00056704,0.00056704,0.00056704
48,534.696,1.1949,1.90791,2.11603,0.83268,0.7981,0.88931,0.78861,0.96114,1.29279,2.00965,0.000551584,0.000551584,0.000551584
49,545.243,1.072,1.88193,2.0382,0.77232,0.86728,0.88689,0.78734,0.96514,1.2988,2.01578,0.000536081,0.000536081,0.000536081
50,555.638,1.14543,1.88709,2.10328,0.78409,0.81,0.87774,0.79065,0.93505,1.25891,1.98687,0.000520548,0.000520548,0.000520548
51,567.155,1.12477,1.99961,2.10437,0.83628,0.76188,0.86755,0.77262,0.95166,1.32193,1.97747,0.000505,0.000505,0.000505
52,578.662,1.13737,2.02533,2.10188,0.74357,0.87853,0.85488,0.76034,0.99229,1.33256,2.01397,0.000489452,0.000489452,0.000489452
53,589.609,1.15216,1.93001,2.07073,0.82348,0.82875,0.882,0.78928,0.9477,1.23343,2.00482,0.000473919,0.000473919,0.000473919
54,599.648,1.07693,1.78056,2.05324,0.82695,0.77882,0.86688,0.77134,0.96298,1.23306,2.00683,0.000458416,0.000458416,0.000458416
55,611.016,1.07968,1.92087,2.06398,0.83057,0.86503,0.8918,0.78387,0.95624,1.2066,2.01117,0.00044296,0.00044296,0.00044296
56,622.302,1.07245,1.76022,2.07354,0.81815,0.81951,0.87092,0.77193,0.95396,1.22732,1.99409,0.000427565,0.000427565,0.000427565
57,633.659,1.12916,1.81335,2.09796,0.83533,0.90267,0.90288,0.80734,0.95831,1.12489,1.98873,0.000412246,0.000412246,0.000412246
58,643.769,1.12674,1.84115,2.10669,0.7989,0.86574,0.89435,0.80576,0.95478,1.16776,1.99335,0.000397019,0.000397019,0.000397019
59,654.694,1.12145,1.814,2.08352,0.83936,0.8127,0.86445,0.77088,0.97457,1.27401,2.01683,0.000381899,0.000381899,0.000381899
60,666.062,1.0341,1.71066,2.04755,0.79995,0.80782,0.86787,0.77093,0.96183,1.4149,2.00462,0.000366899,0.000366899,0.000366899
61,677.391,1.09864,1.86286,2.08479,0.86236,0.78324,0.86586,0.77056,0.94504,1.14916,1.97226,0.000352037,0.000352037,0.000352037
62,687.918,1.10817,1.81633,2.08538,0.76011,0.87539,0.86855,0.76958,0.94056,1.21252,1.98795,0.000337325,0.000337325,0.000337325
63,698.63,1.09966,1.72102,2.06065,0.82549,0.83661,0.85845,0.76545,0.93212,1.21168,1.98254,0.000322778,0.000322778,0.000322778
64,709.965,1.11908,1.81553,2.07345,0.83777,0.86093,0.88452,0.79038,0.94828,1.11212,1.98419,0.000308412,0.000308412,0.000308412
65,721.217,1.06807,1.64761,2.02127,0.85053,0.83929,0.88502,0.7811,0.95257,1.14827,2.00262,0.000294239,0.000294239,0.000294239
66,731.845,1.09815,1.76307,2.05273,0.8658,0.89268,0.90771,0.81674,0.94298,1.07456,1.9712,0.000280275,0.000280275,0.000280275
67,742.242,1.088,1.70541,2.08748,0.84311,0.83764,0.9098,0.81366,0.93651,1.20757,1.97642,0.000266532,0.000266532,0.000266532
68,753.477,1.13573,1.76614,2.07683,0.86995,0.80305,0.90591,0.80808,0.89681,1.19012,1.9783,0.000253024,0.000253024,0.000253024
69,764.668,1.01762,1.55076,1.9961,0.84464,0.85888,0.89147,0.80314,0.89977,1.14962,1.9727,0.000239766,0.000239766,0.000239766
70,775.772,1.08452,1.67756,2.05793,0.82706,0.80358,0.85922,0.76832,0.9052,1.20687,1.95999,0.000226769,0.000226769,0.000226769
71,786.103,1.02435,1.67827,2.03401,0.85603,0.83373,0.88415,0.78986,0.90862,1.2144,1.95088,0.000214046,0.000214046,0.000214046
72,797.455,1.07079,1.68816,2.07741,0.82998,0.80781,0.89141,0.80701,0.90628,1.13477,1.95189,0.000201611,0.000201611,0.000201611
73,808.531,1.054,1.63986,2.03899,0.88602,0.80894,0.88431,0.79297,0.92242,1.13667,1.95852,0.000189475,0.000189475,0.000189475
74,819.888,1.1041,1.71983,2.04922,0.81016,0.86096,0.88512,0.79545,0.9082,1.16381,1.9495,0.000177651,0.000177651,0.000177651
75,829.903,1.06061,1.72848,2.06424,0.86483,0.86308,0.91478,0.82682,0.88657,1.0922,1.9398,0.000166149,0.000166149,0.000166149
76,841.182,1.03403,1.611,2.02958,0.83785,0.90321,0.9162,0.82756,0.88157,1.12147,1.94306,0.000154982,0.000154982,0.000154982
