epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8736,3.8887,45.2332,4.37652,0.0231,0.05195,0.01727,0.00617,3.83866,20.1586,4.92366,0.0677174,0.000326087,0.000326087
2,28.4623,3.68216,16.8466,3.90126,0.11409,0.12872,0.04398,0.02325,3.13961,9.78163,3.71823,0.0347172,0.000659274,0.000659274
3,41.004,2.87033,10.127,3.11436,0.24141,0.22136,0.14512,0.09658,2.16259,5.82468,2.68588,0.00171651,0.000991872,0.000991872
4,52.8341,2.20973,7.43477,2.60186,0.26985,0.37314,0.16322,0.13094,1.58569,5.03384,2.29034,0.000998003,0.000998003,0.000998003
5,65.4912,1.95212,6.02537,2.38028,0.18079,0.42516,0.1834,0.14977,1.38432,4.25701,2.08349,0.000996452,0.000996452,0.000996452
6,77.4368,1.84065,5.22501,2.31066,0.15259,0.60672,0.25069,0.20268,1.31459,3.52799,2.00636,0.00099446,0.00099446,0.00099446
7,89.7375,1.76835,4.67972,2.26939,0.22857,0.56078,0.33683,0.27453,1.18811,3.35368,1.91791,0.000992029,0.000992029,0.000992029
8,102.149,1.6831,4.23661,2.18823,0.32862,0.52522,0.4175,0.34494,1.14428,2.90239,1.93423,0.000989163,0.000989163,0.000989163
9,114.356,1.67562,3.8912,2.20433,0.52374,0.48751,0.52844,0.45679,1.11758,2.50056,1.9245,0.000985862,0.000985862,0.000985862
10,126.629,1.61629,3.54333,2.16833,0.44729,0.74008,0.63043,0.52619,1.11318,2.65173,1.93015,0.000982132,0.000982132,0.000982132
11,138.913,1.50761,3.29503,2.13629,0.53545,0.84107,0.71582,0.61702,1.08569,2.12101,1.8849,0.000977975,0.000977975,0.000977975
12,150.698,1.56781,3.22853,2.1392,0.63107,0.66853,0.7135,0.62682,1.06634,2.02727,1.85307,0.000973396,0.000973396,0.000973396
13,162.24,1.40387,2.8146,2.02878,0.69518,0.70894,0.72384,0.63599,1.05667,1.88434,1.84579,0.000968399,0.000968399,0.000968399
14,174.49,1.44106,2.69174,2.08773,0.62435,0.86605,0.77046,0.66276,1.07956,1.81344,1.8877,0.00096299,0.00096299,0.00096299
15,186.716,1.42528,2.68207,2.04379,0.59636,0.83042,0.78393,0.6791,1.03426,1.75901,1.85364,0.000957172,0.000957172,0.000957172
16,199.14,1.44492,2.52824,2.05557,0.67102,0.76888,0.78734,0.69247,1.03143,1.88998,1.85622,0.000950953,0.000950953,0.000950953
17,213.133,1.37194,2.34886,2.05217,0.7424,0.77283,0.79481,0.70167,1.01484,1.67707,1.83213,0.000944338,0.000944338,0.000944338
18,225.551,1.34801,2.34978,2.00798,0.81552,0.73594,0.8534,0.74496,1.03619,1.53291,1.84302,0.000937334,0.000937334,0.000937334
19,237.286,1.38311,2.32759,2.02498,0.77117,0.82618,0.83868,0.73148,1.04075,1.54873,1.82085,0.000929948,0.000929948,0.000929948
20,248.62,1.28506,2.20855,1.99645,0.7975,0.80057,0.84172,0.7325,1.05963,1.44164,1.84285,0.000922186,0.000922186,0.000922186
21,260.842,1.28029,2.02694,1.98201,0.69592,0.85104,0.87518,0.7659,1.02945,1.59736,1.8235,0.000914058,0.000914058,0.000914058
22,273.696,1.30408,2.04446,2.0375,0.80826,0.75256,0.83146,0.73427,1.01198,1.66948,1.81315,0.00090557,0.00090557,0.00090557
23,286.071,1.26451,1.96809,1.97022,0.85384,0.74154,0.87988,0.78529,0.98966,1.43336,1.80973,0.000896731,0.000896731,0.000896731
24,298.563,1.28037,1.90572,1.99885,0.64637,0.78076,0.83435,0.74104,0.95853,1.93092,1.80458,0.00088755,0.00088755,0.00088755
25,310.851,1.29846,1.87771,1.98103,0.78222,0.77857,0.86614,0.77274,0.97656,1.47236,1.82683,0.000878036,0.000878036,0.000878036
26,323.086,1.21216,1.88065,1.97277,0.74437,0.78858,0.8539,0.75344,1.0649,1.51172,1.853,0.000868198,0.000868198,0.000868198
27,334.259,1.25497,1.84425,1.9882,0.74321,0.84017,0.88595,0.79542,0.97649,1.41775,1.82536,0.000858046,0.000858046,0.000858046
28,345.88,1.18366,1.70643,1.97193,0.70291,0.83658,0.85513,0.75988,1.02315,1.43947,1.86186,0.00084759,0.00084759,0.00084759
29,358.086,1.23312,1.68467,1.95161,0.78779,0.82223,0.89044,0.79799,0.94288,1.63904,1.8088,0.000836841,0.000836841,0.000836841
30,370.391,1.14332,1.70036,1.91641,0.81284,0.79029,0.85204,0.76467,0.95052,1.37789,1.81117,0.000825808,0.000825808,0.000825808
31,382.665,1.16685,1.55002,1.93865,0.821,0.73173,0.85944,0.77859,0.92501,1.3378,1.78294,0.000814503,0.000814503,0.000814503
32,396.1,1.20165,1.647,1.94591,0.84793,0.855,0.89879,0.81084,0.94517,1.21854,1.79628,0.000802938,0.000802938,0.000802938
33,408.575,1.19247,1.62304,1.94623,0.78177,0.83154,0.86891,0.78239,0.96863,1.35353,1.80887,0.000791122,0.000791122,0.000791122
34,420.707,1.17067,1.56016,1.93455,0.8294,0.82319,0.88119,0.79452,0.94444,1.30884,1.79202,0.000779069,0.000779069,0.000779069
