epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.5511,1.59791,4.37783,1.65319,0.00191,0.23188,0.00144,0.0003,3.95025,inf,15.549,0.0690217,0.00163043,0.00163043
2,85.8546,1.63101,2.79756,1.58546,0.00035,0.00758,0.00171,0.00072,3.29493,inf,51.5899,0.0373543,0.00329637,0.00329637
3,95.212,1.62618,2.73223,1.5738,0.10077,0.00758,0.0021,0.0006,3.28267,12.4967,8.45335,0.005684,0.00495936,0.00495936
4,105.319,1.46724,2.49727,1.43894,0.27708,0.21821,0.0072,0.00223,3.12299,177.393,5.31662,0.00499001,0.00499001,0.00499001
5,115.682,1.4535,2.40691,1.38794,0.00034,0.10766,0.00029,7e-05,3.49487,6.52655,5.19799,0.00498226,0.00498226,0.00498226
6,125.718,1.36571,2.35573,1.36423,0.22487,0.33591,0.19769,0.14338,1.33142,2.69121,1.5753,0.0049723,0.0049723,0.0049723
7,135.229,1.29617,2.26752,1.33144,0.15322,0.51003,0.23881,0.16134,1.29863,4.44176,1.52468,0.00496015,0.00496015,0.00496015
8,145.828,1.30019,2.1936,1.31464,0.41268,0.44227,0.33799,0.22351,1.18549,2.2458,1.39685,0.00494581,0.00494581,0.00494581
9,156.36,1.30145,2.15967,1.32438,0.40715,0.49296,0.39662,0.2811,1.04899,1.99261,1.30492,0.00492931,0.00492931,0.00492931
10,167.435,1.2008,2.06634,1.26173,0.42033,0.53528,0.45707,0.33041,1.02032,1.93881,1.26186,0.00491066,0.00491066,0.00491066
11,177.28,1.13807,2.01282,1.23607,0.42779,0.59824,0.42664,0.32205,0.99366,2.04554,1.23442,0.00488988,0.00488988,0.00488988
12,187.826,1.11917,2.00046,1.22458,0.2486,0.72198,0.46527,0.34664,0.89603,1.81077,1.19286,0.00486698,0.00486698,0.00486698
13,198.315,1.0942,1.90532,1.19984,0.35196,0.75159,0.4654,0.34901,0.95613,1.88225,1.21696,0.004842,0.004842,0.004842
14,207.448,1.12913,1.90457,1.24744,0.45822,0.51254,0.46856,0.3629,0.89756,1.77262,1.19683,0.00481495,0.00481495,0.00481495
15,218.011,1.07847,1.93445,1.19741,0.34482,0.63625,0.53996,0.41249,0.89936,1.57828,1.18191,0.00478586,0.00478586,0.00478586
16,228.649,1.08821,1.87498,1.19642,0.34858,0.66414,0.58531,0.44211,0.92339,1.57677,1.19673,0.00475476,0.00475476,0.00475476
17,238.007,1.06622,1.83958,1.20375,0.38371,0.78587,0.60854,0.47427,0.8777,1.57195,1.17504,0.00472169,0.00472169,0.00472169
18,248.223,1.04488,1.82685,1.18103,0.40246,0.71113,0.67074,0.52382,0.88685,1.51166,1.1686,0.00468667,0.00468667,0.00468667
19,258.624,1.09139,1.81894,1.18994,0.54351,0.58253,0.69011,0.5315,0.9397,1.4383,1.21669,0.00464974,0.00464974,0.00464974
20,269.367,1.06958,1.79155,1.20064,0.47937,0.76595,0.67919,0.54456,0.81021,1.3851,1.11654,0.00461093,0.00461093,0.00461093
21,278.268,1.09168,1.80996,1.21491,0.47093,0.57775,0.66052,0.52521,0.8684,1.51806,1.16192,0.00457029,0.00457029,0.00457029
22,288.672,1.02062,1.73026,1.19422,0.54175,0.69811,0.69055,0.56763,0.78616,1.323,1.10547,0.00452785,0.00452785,0.00452785
23,299.024,1.04548,1.71778,1.18432,0.51138,0.66554,0.67047,0.52321,0.93423,1.45102,1.22379,0.00448365,0.00448365,0.00448365
24,308.007,1.03168,1.68401,1.18829,0.58775,0.64242,0.64236,0.49171,0.84131,1.37058,1.11217,0.00443775,0.00443775,0.00443775
25,318.191,1.01716,1.63632,1.15497,0.63134,0.69576,0.69157,0.55929,0.78047,1.30298,1.08747,0.00439018,0.00439018,0.00439018
26,328.72,0.97589,1.65758,1.1575,0.60252,0.71772,0.73194,0.57521,0.84216,1.3269,1.13639,0.00434099,0.00434099,0.00434099
27,338.834,1.01608,1.69208,1.17836,0.58364,0.69218,0.70196,0.56637,0.77566,1.32361,1.09101,0.00429023,0.00429023,0.00429023
28,349.537,0.96564,1.59267,1.15833,0.59997,0.7313,0.70766,0.54957,0.91037,1.24432,1.1751,0.00423795,0.00423795,0.00423795
29,360.481,1.01559,1.60943,1.1682,0.57434,0.67046,0.70455,0.54146,0.79163,1.29591,1.12228,0.0041842,0.0041842,0.0041842
30,373.043,0.9052,1.56664,1.11324,0.54752,0.82472,0.75292,0.6093,0.78234,1.18806,1.09977,0.00412904,0.00412904,0.00412904
31,383.694,0.90018,1.51617,1.10366,0.58303,0.74763,0.71742,0.58833,0.75442,1.18777,1.09487,0.00407252,0.00407252,0.00407252
32,392.879,0.95453,1.53758,1.11575,0.65627,0.83792,0.75762,0.60795,0.77729,1.14286,1.08357,0.00401469,0.00401469,0.00401469
33,403.062,0.9671,1.54081,1.14108,0.57631,0.83508,0.77345,0.63856,0.75222,1.20342,1.04281,0.00395561,0.00395561,0.00395561
34,413.433,0.96139,1.53404,1.1467,0.58504,0.79123,0.75876,0.62609,0.78825,1.12834,1.06174,0.00389534,0.00389534,0.00389534
35,423.196,0.96086,1.506,1.1457,0.70437,0.79523,0.79418,0.67035,0.71886,1.06609,1.04152,0.00383395,0.00383395,0.00383395
36,433.328,0.90546,1.44482,1.11633,0.6236,0.82238,0.84207,0.69564,0.78352,1.14922,1.097,0.00377148,0.00377148,0.00377148
37,443.839,0.93276,1.42772,1.12594,0.62628,0.69784,0.75153,0.62458,0.7262,1.27056,1.05029,0.003708,0.003708,0.003708
38,454.373,0.90916,1.44136,1.1206,0.52964,0.73063,0.69438,0.57852,0.6864,1.21885,1.01908,0.00364358,0.00364358,0.00364358
39,464.085,0.91416,1.42031,1.11058,0.61025,0.78681,0.76912,0.63465,0.71446,1.0818,1.02144,0.00357828,0.00357828,0.00357828
40,474.106,0.94671,1.48475,1.1284,0.56006,0.8408,0.73488,0.62229,0.69987,1.15116,1.03644,0.00351216,0.00351216,0.00351216
41,484.447,0.89845,1.39317,1.10094,0.68999,0.82331,0.79455,0.64589,0.77686,1.00527,1.08438,0.00344529,0.00344529,0.00344529
42,494.317,0.90587,1.39803,1.11324,0.65868,0.79954,0.79671,0.66464,0.71559,1.09891,1.0447,0.00337773,0.00337773,0.00337773
43,503.688,0.86772,1.33063,1.10712,0.64675,0.82374,0.79818,0.67207,0.6826,1.06836,1.0185,0.00330955,0.00330955,0.00330955
44,514.307,0.87952,1.43189,1.08301,0.61922,0.87278,0.82025,0.67853,0.70166,1.04009,1.02716,0.00324082,0.00324082,0.00324082
45,525.395,0.88936,1.332,1.10952,0.71066,0.83112,0.82604,0.6861,0.69788,1.03508,1.02363,0.00317161,0.00317161,0.00317161
46,535.256,0.91063,1.36912,1.12778,0.74832,0.83607,0.85538,0.72403,0.68008,0.97942,1.01898,0.00310198,0.00310198,0.00310198
47,545.234,0.85005,1.33295,1.07355,0.59843,0.80112,0.79938,0.67561,0.70557,1.00298,1.02357,0.003032,0.003032,0.003032
48,555.628,0.86905,1.35206,1.08595,0.67482,0.85663,0.83687,0.69259,0.69219,0.96434,1.02574,0.00296174,0.00296174,0.00296174
49,565.443,0.89134,1.33325,1.09298,0.67879,0.91594,0.86198,0.72827,0.66346,0.96047,1.00782,0.00289128,0.00289128,0.00289128
50,574.822,0.83264,1.20884,1.06735,0.69912,0.89466,0.81603,0.67702,0.71233,0.91348,1.0387,0.00282067,0.00282067,0.00282067
51,585.29,0.85633,1.22077,1.0585,0.6865,0.84082,0.82537,0.67236,0.74765,1.0153,1.0576,0.00275,0.00275,0.00275
52,595.712,0.86198,1.27205,1.08759,0.72345,0.84391,0.85081,0.69941,0.73677,0.95528,1.04153,0.00267933,0.00267933,0.00267933
