epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2634,1.76389,6.53579,1.87926,0.24814,0.49662,0.21395,0.12732,1.19782,5.77057,1.47306,0.00014674,0.00014674,0.00014674
2,21.912,1.03635,2.99338,1.26867,0.2244,0.85505,0.38388,0.30067,0.76496,4.95586,1.11487,0.000297179,0.000297179,0.000297179
3,31.4645,0.92968,2.30823,1.15183,0.49169,0.63285,0.5248,0.42263,0.68774,2.21291,1.06554,0.00044458,0.00044458,0.00044458
4,42.5652,0.90081,2.0228,1.11729,0.54062,0.54458,0.52409,0.39744,0.8576,2.44233,1.18282,0.000588943,0.000588943,0.000588943
5,54.1322,0.89329,1.81371,1.09912,0.36843,0.7261,0.58276,0.45541,0.83746,2.35759,1.18319,0.000640587,0.000640587,0.000640587
6,63.0747,0.85765,1.72263,1.10218,0.63689,0.51928,0.60845,0.49103,0.82624,2.29141,1.20285,0.000633983,0.000633983,0.000633983
7,75.79,0.85231,1.5524,1.10065,0.60181,0.79409,0.78207,0.66016,0.66923,1.35237,1.06026,0.00062738,0.00062738,0.00062738
8,92.5234,0.83802,1.48579,1.07739,0.67367,0.75918,0.78963,0.66076,0.69025,1.4304,1.05698,0.000620777,0.000620777,0.000620777
9,102.05,0.83048,1.5059,1.09025,0.4035,0.69552,0.6255,0.49685,0.65595,1.61509,1.01277,0.000614174,0.000614174,0.000614174
10,115.169,0.79767,1.38423,1.06639,0.75629,0.71784,0.8148,0.67611,0.65097,1.27944,1.02148,0.00060757,0.00060757,0.00060757
11,127.921,0.798,1.3564,1.08383,0.68689,0.78599,0.82452,0.69916,0.68657,1.20673,1.07001,0.000600967,0.000600967,0.000600967
12,141.286,0.80312,1.26239,1.07196,0.7049,0.80219,0.8682,0.74981,0.63364,0.99804,1.00925,0.000594364,0.000594364,0.000594364
13,151.214,0.78076,1.20665,1.05048,0.7259,0.76295,0.81672,0.69659,0.64469,1.29072,1.00661,0.00058776,0.00058776,0.00058776
14,163.736,0.76081,1.11128,1.06848,0.79918,0.76707,0.90087,0.76552,0.62181,0.91022,0.99498,0.000581157,0.000581157,0.000581157
15,173.834,0.76705,1.15889,1.04971,0.73225,0.84311,0.86448,0.73649,0.59293,1.14742,0.97971,0.000574554,0.000574554,0.000574554
16,187.301,0.73666,1.12407,1.03064,0.74614,0.82708,0.88041,0.73633,0.63893,1.32739,1.02628,0.00056795,0.00056795,0.00056795
17,198.984,0.74025,1.08832,1.06,0.74311,0.8453,0.87445,0.75028,0.71034,0.98507,1.05091,0.000561347,0.000561347,0.000561347
18,208.563,0.71913,1.0786,1.02858,0.73614,0.77973,0.84345,0.71818,0.59749,1.34261,0.96208,0.000554744,0.000554744,0.000554744
19,221.891,0.72625,1.08226,1.03225,0.77411,0.76939,0.82854,0.7122,0.5886,1.18607,0.97752,0.000548141,0.000548141,0.000548141
20,230.356,0.7147,1.03046,1.0371,0.73864,0.8468,0.86171,0.73028,0.6043,1.04424,0.99356,0.000541537,0.000541537,0.000541537
21,241.605,0.69876,1.00849,1.03155,0.77072,0.80119,0.88261,0.74905,0.65247,0.85796,1.00557,0.000534934,0.000534934,0.000534934
22,251.771,0.70569,1.00221,1.0397,0.64052,0.68033,0.77313,0.65125,0.59765,1.65647,0.99669,0.000528331,0.000528331,0.000528331
23,260.082,0.65819,0.94389,1.02205,0.8542,0.85947,0.93192,0.81256,0.54905,0.65398,0.96499,0.000521727,0.000521727,0.000521727
24,269.876,0.65285,0.97216,1.00992,0.80868,0.84591,0.90478,0.76729,0.60178,0.73565,0.99596,0.000515124,0.000515124,0.000515124
25,281.239,0.66701,0.90438,1.01347,0.85717,0.79918,0.89679,0.76598,0.62286,0.74485,0.9842,0.000508521,0.000508521,0.000508521
26,289.908,0.65933,0.89877,1.01698,0.71776,0.83874,0.84688,0.73139,0.52017,0.93329,0.92556,0.000501917,0.000501917,0.000501917
27,299.367,0.65884,0.91599,1.02207,0.78069,0.81753,0.87302,0.76432,0.52218,1.01044,0.96476,0.000495314,0.000495314,0.000495314
28,310.757,0.63591,0.89007,1.00547,0.74774,0.78488,0.87435,0.75564,0.54236,0.84614,0.9506,0.000488711,0.000488711,0.000488711
29,320.256,0.64796,0.89888,0.99184,0.67328,0.81456,0.83822,0.72778,0.55424,1.11095,0.94596,0.000482108,0.000482108,0.000482108
30,329.561,0.61546,0.83654,0.97578,0.86928,0.78866,0.91511,0.80794,0.54921,0.94395,0.96504,0.000475504,0.000475504,0.000475504
31,339.609,0.62615,0.82138,0.97471,0.89059,0.84472,0.92825,0.81566,0.56704,0.73571,0.9563,0.000468901,0.000468901,0.000468901
32,349.858,0.61705,0.80652,0.9767,0.81474,0.90188,0.92764,0.80325,0.5714,0.65464,0.96285,0.000462298,0.000462298,0.000462298
33,361.59,0.6401,0.86542,0.99154,0.7966,0.80177,0.87555,0.75063,0.54581,0.7568,0.95496,0.000455694,0.000455694,0.000455694
34,371.605,0.61213,0.81142,0.98069,0.83059,0.89472,0.91448,0.79511,0.54965,0.65218,0.98382,0.000449091,0.000449091,0.000449091
35,382.808,0.60438,0.77904,0.99247,0.78227,0.91644,0.92042,0.80726,0.53021,0.64698,0.93459,0.000442488,0.000442488,0.000442488
36,392.329,0.62871,0.80037,1.00799,0.85895,0.77241,0.89993,0.76917,0.56817,0.69956,0.9395,0.000435884,0.000435884,0.000435884
37,401.052,0.5939,0.77134,0.96981,0.89659,0.85868,0.90301,0.78307,0.55807,0.69064,0.94065,0.000429281,0.000429281,0.000429281
38,410.693,0.5969,0.76061,0.98237,0.85958,0.86146,0.92102,0.81352,0.51078,0.60765,0.93251,0.000422678,0.000422678,0.000422678
39,422.281,0.60273,0.76202,0.98851,0.81475,0.85082,0.86526,0.76636,0.47694,0.87924,0.91383,0.000416075,0.000416075,0.000416075
40,430.685,0.57554,0.72275,0.97398,0.90337,0.84441,0.91357,0.80716,0.47174,0.55716,0.91676,0.000409471,0.000409471,0.000409471
41,440.725,0.56069,0.68638,0.97196,0.91091,0.87676,0.92972,0.81791,0.51016,0.53995,0.91997,0.000402868,0.000402868,0.000402868
42,450.677,0.62274,0.78724,1.00201,0.83807,0.89748,0.91211,0.80804,0.49146,0.57873,0.91762,0.000396265,0.000396265,0.000396265
43,460.356,0.5325,0.70337,0.95882,0.88316,0.87613,0.91119,0.81156,0.51736,0.54536,0.91547,0.000389661,0.000389661,0.000389661
44,470.469,0.57592,0.66486,0.97931,0.84254,0.8105,0.87954,0.78473,0.50864,0.83165,0.92151,0.000383058,0.000383058,0.000383058
45,480.288,0.5696,0.66917,0.95835,0.87261,0.83469,0.88243,0.7769,0.51921,0.5655,0.92257,0.000376455,0.000376455,0.000376455
46,488.569,0.5784,0.69964,0.97588,0.87861,0.82075,0.90627,0.79526,0.51083,0.54942,0.928,0.000369851,0.000369851,0.000369851
47,500.759,0.56728,0.63902,0.96353,0.89473,0.89529,0.90582,0.79058,0.52166,0.5488,0.95298,0.000363248,0.000363248,0.000363248
48,510.921,0.54571,0.65504,0.95734,0.87397,0.89658,0.90025,0.79356,0.50471,0.5385,0.91623,0.000356645,0.000356645,0.000356645
49,520.387,0.52405,0.62909,0.93786,0.8411,0.9119,0.90054,0.80023,0.48062,0.56078,0.91541,0.000350042,0.000350042,0.000350042
50,529.491,0.53493,0.59414,0.95489,0.84244,0.94126,0.93537,0.82963,0.50381,0.50517,0.91419,0.000343438,0.000343438,0.000343438
51,539.795,0.52987,0.64734,0.95656,0.87969,0.89465,0.94746,0.82594,0.52917,0.56468,0.93236,0.000336835,0.000336835,0.000336835
52,550.647,0.52634,0.62212,0.96634,0.87779,0.9145,0.93375,0.83011,0.5057,0.56093,0.92549,0.000330232,0.000330232,0.000330232
53,559.464,0.54915,0.61956,0.96423,0.86724,0.90312,0.92312,0.8104,0.53304,0.54207,0.9376,0.000323628,0.000323628,0.000323628
54,569.521,0.48917,0.54178,0.92069,0.84931,0.90181,0.93022,0.81653,0.52532,0.59861,0.95592,0.000317025,0.000317025,0.000317025
55,579.517,0.52126,0.6332,0.95107,0.91415,0.90985,0.94276,0.82334,0.50412,0.49485,0.9382,0.000310422,0.000310422,0.000310422
56,588.478,0.48444,0.58743,0.93616,0.86652,0.89605,0.94068,0.81978,0.51667,0.59419,0.92708,0.000303818,0.000303818,0.000303818
57,599.537,0.52799,0.61164,0.95429,0.82944,0.86846,0.93567,0.82022,0.49418,0.56895,0.91961,0.000297215,0.000297215,0.000297215
58,609.646,0.50312,0.58241,0.95038,0.92223,0.89587,0.94757,0.8407,0.51647,0.46534,0.93024,0.000290612,0.000290612,0.000290612
59,618.062,0.51518,0.61305,0.94796,0.85423,0.9006,0.92688,0.82344,0.48556,0.57367,0.9297,0.000284009,0.000284009,0.000284009
60,629.235,0.45848,0.542,0.93033,0.85135,0.90188,0.92932,0.80903,0.51028,0.59383,0.94021,0.000277405,0.000277405,0.000277405
61,641.016,0.49756,0.59846,0.94647,0.89741,0.90704,0.94522,0.82508,0.4905,0.46789,0.93807,0.000270802,0.000270802,0.000270802
62,650.285,0.49303,0.57907,0.9295,0.79278,0.87559,0.92287,0.81017,0.48311,0.62339,0.92572,0.000264199,0.000264199,0.000264199
63,661.863,0.47312,0.56296,0.93623,0.88363,0.89509,0.94635,0.84879,0.46998,0.50496,0.907,0.000257595,0.000257595,0.000257595
64,672.063,0.47086,0.57574,0.92857,0.87679,0.88004,0.9458,0.83795,0.50584,0.5608,0.92423,0.000250992,0.000250992,0.000250992
65,683.242,0.46486,0.53501,0.9206,0.87582,0.8969,0.92516,0.83008,0.45088,0.51911,0.90041,0.000244389,0.000244389,0.000244389
66,692.29,0.48653,0.55014,0.93567,0.91222,0.89293,0.92992,0.82874,0.47886,0.50852,0.90662,0.000237785,0.000237785,0.000237785
67,701.411,0.46937,0.50672,0.93791,0.89932,0.9378,0.9338,0.83459,0.45388,0.52153,0.9082,0.000231182,0.000231182,0.000231182
68,711.622,0.47048,0.58871,0.9295,0.87596,0.94269,0.93754,0.84346,0.47128,0.48885,0.90599,0.000224579,0.000224579,0.000224579
69,720.38,0.43978,0.50574,0.91435,0.9051,0.89694,0.9352,0.83972,0.44642,0.48979,0.89957,0.000217976,0.000217976,0.000217976
70,729.802,0.47439,0.52561,0.93318,0.8785,0.87835,0.92707,0.83262,0.48417,0.6005,0.91125,0.000211372,0.000211372,0.000211372
