epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4381,3.58326,24.0612,3.83321,0,0,0,0,nan,nan,nan,0.0690217,0.00163043,0.00163043
2,27.7843,3.75623,7.17492,3.64428,0,0,0,0,nan,nan,nan,0.0373543,0.00329637,0.00329637
3,40.4973,3.54587,6.39709,3.41629,0,0,0,0,nan,nan,nan,0.005684,0.00495936,0.00495936
4,52.9507,3.16198,5.69908,3.03408,0,0,0,0,nan,nan,nan,0.00499001,0.00499001,0.00499001
5,65.4368,3.18139,5.52066,2.959,0.01001,0.0482,0.0133,0.00666,8.12236,123.371,14.798,0.00498226,0.00498226,0.00498226
6,78.2901,3.04881,5.27608,2.9321,0.2336,0.13795,0.03984,0.0226,3.0651,6.97407,3.41447,0.0049723,0.0049723,0.0049723
7,90.9797,2.83406,5.04532,2.81327,0.22618,0.18903,0.06925,0.03267,2.86761,7.21956,3.30273,0.00496015,0.00496015,0.00496015
8,103.387,2.80457,4.83742,2.72948,0.17765,0.45176,0.1972,0.12842,2.65134,6.2807,3.00893,0.00494581,0.00494581,0.00494581
9,115.213,2.80792,4.72673,2.72572,0.15403,0.65535,0.23338,0.15915,2.19674,5.2531,2.61905,0.00492931,0.00492931,0.00492931
10,127.424,2.67962,4.59236,2.64488,0.27251,0.46364,0.22059,0.13309,3.15224,5.4893,3.19879,0.00491066,0.00491066,0.00491066
11,140.016,2.64179,4.40948,2.65026,0.25547,0.42981,0.25301,0.17842,2.63427,4.27203,3.21641,0.00488988,0.00488988,0.00488988
12,152.975,2.66536,4.47477,2.67057,0.27195,0.59722,0.33364,0.23087,2.15322,3.92363,2.6153,0.00486698,0.00486698,0.00486698
13,165.736,2.50517,4.2338,2.55116,0.29731,0.60272,0.38172,0.26681,2.04383,3.69495,2.64356,0.004842,0.004842,0.004842
14,178.469,2.54161,4.21688,2.62669,0.26471,0.60644,0.3811,0.26589,2.04289,3.70814,2.54895,0.00481495,0.00481495,0.00481495
15,191.245,2.50687,4.11355,2.52899,0.40674,0.45758,0.41307,0.30617,1.87023,3.1961,2.4095,0.00478586,0.00478586,0.00478586
16,205.406,2.50534,4.00083,2.54519,0.23665,0.60004,0.41962,0.32078,1.82392,3.4173,2.45297,0.00475476,0.00475476,0.00475476
17,217.859,2.37429,3.85683,2.48872,0.3132,0.59836,0.42585,0.3333,1.74712,3.27207,2.30141,0.00472169,0.00472169,0.00472169
18,229.992,2.3016,3.85757,2.41003,0.53907,0.486,0.48999,0.38541,1.74555,3.14601,2.32281,0.00468667,0.00468667,0.00468667
19,242.079,2.38626,3.95559,2.46365,0.3681,0.56223,0.44047,0.34477,1.75846,2.97482,2.35125,0.00464974,0.00464974,0.00464974
20,254.007,2.30174,3.8978,2.4517,0.42604,0.54379,0.48167,0.37009,1.66079,3.1811,2.26916,0.00461093,0.00461093,0.00461093
21,266.485,2.32886,3.67551,2.45747,0.41667,0.59079,0.46244,0.36201,1.67326,3.1239,2.24735,0.00457029,0.00457029,0.00457029
22,279.133,2.20552,3.6292,2.43397,0.41864,0.54727,0.53859,0.42192,1.74786,2.75388,2.24056,0.00452785,0.00452785,0.00452785
23,291.924,2.25102,3.57825,2.40533,0.48406,0.50066,0.50017,0.3901,1.65637,2.92198,2.18645,0.00448365,0.00448365,0.00448365
24,304.531,2.26449,3.64371,2.44515,0.51845,0.56199,0.50294,0.40939,1.59425,2.8893,2.16951,0.00443775,0.00443775,0.00443775
25,316.881,2.18389,3.54129,2.36708,0.74548,0.389,0.48549,0.37328,1.9383,3.11575,2.50249,0.00439018,0.00439018,0.00439018
26,329.352,2.17927,3.50349,2.38602,0.4244,0.62018,0.59717,0.45389,1.61237,2.89,2.25204,0.00434099,0.00434099,0.00434099
27,340.97,2.19589,3.58338,2.38491,0.52551,0.61674,0.64977,0.4956,1.6764,2.62093,2.25868,0.00429023,0.00429023,0.00429023
28,353.036,2.16124,3.3396,2.3876,0.66377,0.47143,0.61532,0.46322,1.84796,2.65256,2.28334,0.00423795,0.00423795,0.00423795
29,365.912,2.25744,3.51688,2.38761,0.44477,0.65092,0.55578,0.44134,1.73273,3.03657,2.28018,0.0041842,0.0041842,0.0041842
30,379.333,2.04951,3.33528,2.29246,0.46176,0.72075,0.63225,0.49086,1.54153,2.5223,2.15545,0.00412904,0.00412904,0.00412904
31,392.578,2.12867,3.20481,2.30748,0.48027,0.65838,0.60744,0.46084,1.76934,2.57205,2.26645,0.00407252,0.00407252,0.00407252
32,405.139,2.201,3.35557,2.33624,0.52373,0.72034,0.63348,0.50214,1.56924,2.50251,2.16968,0.00401469,0.00401469,0.00401469
33,417.73,2.16468,3.28407,2.37051,0.54348,0.78367,0.68631,0.54773,1.52094,2.3879,2.1254,0.00395561,0.00395561,0.00395561
34,430.262,2.12473,3.14723,2.3391,0.52248,0.7818,0.64853,0.5189,1.40482,2.28368,2.09461,0.00389534,0.00389534,0.00389534
35,442.21,2.11263,3.17293,2.33887,0.55571,0.6677,0.65586,0.5421,1.43434,2.22762,2.10896,0.00383395,0.00383395,0.00383395
36,453.727,1.99408,2.93284,2.29817,0.58306,0.69753,0.70528,0.56322,1.50254,2.25779,2.15256,0.00377148,0.00377148,0.00377148
37,465.893,1.95841,2.97891,2.28096,0.49265,0.62551,0.63219,0.52177,1.36992,2.40131,2.06732,0.003708,0.003708,0.003708
38,478.688,1.92536,3.03833,2.25559,0.62405,0.65812,0.68649,0.52951,1.49167,2.3363,2.14155,0.00364358,0.00364358,0.00364358
39,491.073,2.01456,3.01393,2.28215,0.55032,0.77682,0.72779,0.594,1.41567,1.98798,2.05943,0.00357828,0.00357828,0.00357828
40,503.551,2.05301,3.09289,2.28848,0.62781,0.68493,0.70892,0.55405,1.63236,2.27412,2.16082,0.00351216,0.00351216,0.00351216
41,515.854,2.0529,3.04535,2.28429,0.63762,0.74099,0.7416,0.59685,1.49229,2.13014,2.14853,0.00344529,0.00344529,0.00344529
42,528.486,1.96638,2.90295,2.25212,0.58669,0.74549,0.74507,0.61103,1.47135,1.92207,2.14048,0.00337773,0.00337773,0.00337773
43,540.567,2.00042,2.74615,2.29817,0.65045,0.75645,0.75796,0.62134,1.42968,1.90414,2.05176,0.00330955,0.00330955,0.00330955
44,552.52,1.99,2.97393,2.25184,0.57774,0.76189,0.7309,0.59346,1.45456,2.12941,2.07149,0.00324082,0.00324082,0.00324082
45,566.391,1.94906,2.81699,2.25631,0.59598,0.73051,0.721,0.59125,1.48584,2.01602,2.09701,0.00317161,0.00317161,0.00317161
