epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.405,2.92916,26.1207,3.61765,0.33716,0.25952,0.21577,0.14618,2.35841,11.5775,2.94598,0.00023331,0.00023331,0.00023331
2,435.769,1.89713,12.3209,2.39708,0.13879,0.62262,0.29334,0.22397,2.10376,11.4104,2.61438,0.000430435,0.000430435,0.000430435
3,626.337,1.8489,7.85369,2.34338,0.5628,0.44514,0.48106,0.34079,2.18834,7.20257,2.78169,0.000579164,0.000579164,0.000579164
4,807.798,1.81997,5.88445,2.29128,0.44628,0.71512,0.52408,0.32393,2.35207,6.18362,3.05929,0.000679499,0.000679499,0.000679499
5,992.109,1.87437,4.68614,2.26256,0.18812,0.61548,0.38742,0.17973,2.25009,6.57995,2.79824,0.000671044,0.000671044,0.000671044
6,1175.54,1.79245,4.01502,2.16984,0.58365,0.5362,0.54313,0.39424,1.83191,6.81567,2.5427,0.000561055,0.000561055,0.000561055
7,1359.87,1.8108,3.65392,2.22135,0.50199,0.65048,0.64405,0.49123,1.74824,3.58454,2.39168,0.000451066,0.000451066,0.000451066
8,1558.69,1.55071,3.19313,2.10813,0.56633,0.68603,0.71765,0.57645,1.67429,3.00376,2.29566,0.000341077,0.000341077,0.000341077
9,1740.08,1.60198,2.9397,2.09839,0.75242,0.74128,0.79754,0.61765,1.48574,2.48048,2.13925,0.000231088,0.000231088,0.000231088
10,1925.22,1.38753,2.60228,1.96915,0.72054,0.85803,0.86506,0.68771,1.44227,2.22039,2.09658,0.000121099,0.000121099,0.000121099
