epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.298,2.64883,15.7992,3.36179,0.05674,0.17998,0.08991,0.07629,1.78452,16.9524,2.66175,0.0002175,0.0002175,0.0002175
2,803.232,2.16477,8.0596,2.78684,0.20419,0.3522,0.1752,0.12636,2.01933,12.6965,2.79766,0.000435479,0.000435479,0.000435479
3,1148.82,2.09376,6.24881,2.62618,0.18729,0.54515,0.24214,0.14909,1.94405,9.81019,2.62112,0.000649056,0.000649056,0.000649056
4,1575.83,2.13706,5.39945,2.65128,0.15553,0.4869,0.2566,0.19198,1.66984,5.61122,2.43469,0.00064719,0.00064719,0.00064719
5,2028,2.09472,4.69261,2.57221,0.42154,0.35068,0.31665,0.2018,1.99138,5.06921,2.67202,0.000640587,0.000640587,0.000640587
6,2517.08,1.97314,4.39862,2.46796,0.4754,0.47718,0.49422,0.39383,1.63891,4.90277,2.40617,0.000633983,0.000633983,0.000633983
7,2989.62,1.92599,4.07689,2.42196,0.37332,0.50093,0.39462,0.29454,1.63859,3.83223,2.3886,0.00062738,0.00062738,0.00062738
8,3492.75,1.94742,3.86591,2.4714,0.52426,0.62244,0.56863,0.44712,1.71994,4.12468,2.44248,0.000620777,0.000620777,0.000620777
9,3964.61,1.78309,3.67673,2.35276,0.71301,0.54995,0.62583,0.49838,1.55622,3.19583,2.3185,0.000614174,0.000614174,0.000614174
10,4478.77,1.87704,3.55718,2.35788,0.50592,0.67485,0.69685,0.56275,1.48848,2.90803,2.19814,0.00060757,0.00060757,0.00060757
