epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.709,3.23854,16.1284,3.52569,0.43977,0.4381,0.48295,0.35865,1.71146,10.8924,2.20895,0.00023331,0.00023331,0.00023331
2,434.696,2.12939,8.23156,2.44403,0.4125,0.25595,0.21067,0.11459,2.58893,11.8734,3.43141,0.000473,0.000473,0.000473
3,628.316,2.30255,6.02582,2.5213,0.5484,0.53452,0.47833,0.32126,2.24868,12.5425,2.99759,0.000707851,0.000707851,0.000707851
4,805.246,2.24322,5.11657,2.45489,0.3776,0.62381,0.47942,0.2989,2.16527,6.9464,2.68329,0.000937863,0.000937863,0.000937863
5,984.304,2.49793,4.21156,2.67935,0.52279,0.55061,0.49514,0.29669,3.07308,5.75808,4.16955,0.001067,0.001067,0.001067
6,1162.84,2.95894,4.2766,2.94131,0.27053,0.4,0.36102,0.22004,2.56278,8.52535,3.306,0.00105601,0.00105601,0.00105601
7,1334.33,2.56781,3.78709,2.60457,0.57824,0.54286,0.46786,0.29345,2.43002,7.76625,3.38998,0.00104501,0.00104501,0.00104501
8,1509.12,2.48723,3.52429,2.54606,0.3688,0.62443,0.48649,0.34393,2.07988,5.40638,2.61535,0.00103401,0.00103401,0.00103401
9,1683.58,2.53427,3.60945,2.69171,0.67597,0.3934,0.58229,0.37217,2.27561,5.78187,2.73501,0.00102301,0.00102301,0.00102301
10,1861.92,2.21292,2.98754,2.39021,0.49431,0.63165,0.55175,0.37599,2.10473,4.78541,2.66226,0.00101201,0.00101201,0.00101201
11,2037.05,2.29118,3.24898,2.45427,0.33848,0.70613,0.51361,0.34793,2.25917,4.42926,2.48956,0.00100101,0.00100101,0.00100101
12,2229.01,2.47877,3.31592,2.47985,0.71693,0.48218,0.57197,0.39456,2.05354,3.47174,2.57975,0.000990012,0.000990012,0.000990012
13,2404.66,2.26344,2.84034,2.3779,0.80683,0.76714,0.83819,0.60197,1.90833,2.42642,2.43324,0.000979013,0.000979013,0.000979013
14,2580.06,2.28015,2.86795,2.55081,0.47624,0.52815,0.60954,0.4031,2.04074,3.13635,2.45374,0.000968014,0.000968014,0.000968014
15,2752.02,2.10951,2.7996,2.29571,0.45237,0.82143,0.67486,0.47147,1.96709,2.88943,2.34893,0.000957015,0.000957015,0.000957015
16,2925.93,2.23164,2.71645,2.48419,0.74943,0.75489,0.79678,0.48949,2.41165,2.80346,2.7471,0.000946016,0.000946016,0.000946016
17,3104.9,2.14588,2.50437,2.32353,0.60743,0.59298,0.63445,0.4141,2.08665,3.09669,2.49166,0.000935018,0.000935018,0.000935018
18,3282.84,2.24002,2.45834,2.54287,0.72745,0.8436,0.82559,0.58487,1.80867,2.14198,2.29198,0.000924019,0.000924019,0.000924019
19,3460.44,2.03804,2.50744,2.33286,0.709,0.78165,0.79301,0.56316,1.79547,2.41102,2.2499,0.00091302,0.00091302,0.00091302
20,3639.04,2.10882,2.36415,2.42682,0.73336,0.84445,0.82092,0.59657,1.83413,2.10756,2.30988,0.000902021,0.000902021,0.000902021
