epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6124,3.21231,20.1452,3.83176,0.28028,0.27763,0.09341,0.07002,1.73462,8.94529,2.53587,0.00014674,0.00014674,0.00014674
2,45.5731,1.98467,9.58875,2.71586,0.47307,0.34386,0.16293,0.11586,1.78611,6.57336,2.58862,0.000297179,0.000297179,0.000297179
3,59.791,1.97931,6.62723,2.5476,0.30823,0.35307,0.27149,0.15824,2.29637,11.566,3.44784,0.00044458,0.00044458,0.00044458
4,73.9173,1.95965,5.3608,2.47518,0.32922,0.29963,0.25143,0.16822,2.00839,6.10525,2.92655,0.000588943,0.000588943,0.000588943
5,87.8888,2.02627,4.55542,2.48805,0.34746,0.47586,0.41751,0.30356,1.70734,4.97405,2.66956,0.000640587,0.000640587,0.000640587
6,101.924,1.92277,4.25141,2.38893,0.42406,0.47082,0.43522,0.34913,1.62288,4.04609,2.42034,0.000633983,0.000633983,0.000633983
7,116.112,1.77058,3.78474,2.29036,0.36022,0.68778,0.53662,0.43044,1.64397,3.98684,2.54175,0.00062738,0.00062738,0.00062738
8,130.544,1.82201,3.4146,2.29649,0.55952,0.54722,0.52328,0.3998,1.52789,3.79152,2.20718,0.000620777,0.000620777,0.000620777
9,146.034,1.88136,3.4316,2.34069,0.46307,0.35699,0.41768,0.31524,1.69317,5.00693,2.53056,0.000614174,0.000614174,0.000614174
10,160.704,1.75869,3.23302,2.28602,0.58012,0.63785,0.59012,0.48548,1.33691,3.94895,2.12875,0.00060757,0.00060757,0.00060757
11,175.238,1.80034,3.08143,2.30502,0.57524,0.6084,0.64253,0.50838,1.5952,2.97042,2.26893,0.000600967,0.000600967,0.000600967
12,189.911,1.86228,3.14401,2.30852,0.53085,0.6168,0.67122,0.50926,1.62454,3.57112,2.30348,0.000594364,0.000594364,0.000594364
13,204.272,1.78119,2.85342,2.2457,0.69961,0.66865,0.68337,0.56011,1.36311,2.38807,2.11666,0.00058776,0.00058776,0.00058776
14,219.067,1.74436,2.73242,2.27504,0.61506,0.76652,0.74678,0.62697,1.37568,2.79024,2.12738,0.000581157,0.000581157,0.000581157
15,233.337,1.77199,2.72563,2.2434,0.62388,0.62212,0.67971,0.57871,1.30959,2.54102,2.05092,0.000574554,0.000574554,0.000574554
16,245.931,1.70151,2.69954,2.22052,0.82576,0.71833,0.84457,0.69785,1.30505,1.66858,2.04618,0.00056795,0.00056795,0.00056795
17,260.207,1.68569,2.68232,2.23129,0.57556,0.63852,0.68664,0.55563,1.52906,2.55099,2.16729,0.000561347,0.000561347,0.000561347
