epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.547,1.97408,6.39145,2.18624,0.40777,0.11603,0.13301,0.06553,1.40827,6.26824,1.62462,0.0001111,0.0001111,0.0001111
2,352.297,1.07951,3.3885,1.31638,0.30785,0.68452,0.50442,0.35574,0.94584,3.7054,1.16371,0.000210212,0.000210212,0.000210212
3,524.067,0.82292,2.36123,1.122,0.69077,0.67771,0.71727,0.53718,0.8054,3.42171,1.17577,0.000285127,0.000285127,0.000285127
4,691.052,0.78872,1.83645,1.06193,0.44622,0.82078,0.675,0.49257,0.84865,2.17497,1.17835,0.000335844,0.000335844,0.000335844
5,874.923,0.811,1.56137,1.08649,0.70248,0.58661,0.7548,0.53635,0.97202,1.77171,1.17076,0.000362364,0.000362364,0.000362364
6,1055.12,0.72251,1.51058,1.01092,0.68192,0.80476,0.79975,0.63362,0.74764,1.63879,1.04304,0.000364686,0.000364686,0.000364686
7,1236.7,0.6936,1.29485,1.00467,0.8211,0.82805,0.85008,0.674,0.74296,1.16667,1.06671,0.00034281,0.00034281,0.00034281
8,1421.91,0.64724,1.02886,0.97088,0.81352,0.85944,0.87687,0.67833,0.78789,1.09817,1.11378,0.000296737,0.000296737,0.000296737
9,1598.75,0.62528,1.00365,0.96595,0.86425,0.84302,0.93211,0.74267,0.70969,1.04158,1.05857,0.000226466,0.000226466,0.000226466
10,1788.1,0.5712,0.78556,0.91795,0.90449,0.82347,0.9514,0.78295,0.66216,0.8627,1.02844,0.000121099,0.000121099,0.000121099
